"Hash","Path"
"34698AFDD3E84E7A7555A743EAA9F6971B970D5C","C:\Windows\Microsoft.NET\Framework\v4.0.30319\dfsvc.exe"
"14F8BE6630A069EEEF0D6AE6DF725BCFB7508099","C:\Windows\Microsoft.NET\Framework\v4.0.30319\EdmGen.exe"
"D0D62969D155207B1067C3030B56FCCDB0C6A637","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ilasm.exe"
"F0209900FBF08D004B886A0B3BA33EA2B0BF9DA8","C:\Windows\Microsoft.NET\Framework\v4.0.30319\InstallUtil.exe"
"5729E6C7D2F5AB760F0093B9D44F8AC0F876A803","C:\Windows\Microsoft.NET\Framework\v4.0.30319\jsc.exe"
"930D4F60CF9699282AEEE123EBC1CFC9D99B3254","C:\Windows\Microsoft.NET\Framework\v4.0.30319\Microsoft.Workflow.Compiler.exe"
"E6256A0159688F0560B015DA4D967F41CBF8C9BD","C:\Windows\Microsoft.NET\Framework\v4.0.30319\MSBuild.exe"
"C4D483AC89670539592D1B73733C25FB4FE3F574","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe"
"959EAB169395284F92717E7785CA9C7A2936CC60","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe"
"7D2504133D8235E91C2E98355C4F223CDF500D4D","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngentask.exe"
"230AB5559E806574D26B4C20847C368ED55483B0","C:\Windows\Microsoft.NET\Framework\v4.0.30319\RegAsm.exe"
"1969771B2F022F9A86D77AC4D4D239BECDF08D07","C:\Windows\Microsoft.NET\Framework\v4.0.30319\RegSvcs.exe"
"4AFA5141D45586FA4EAB89F275B002401BD567A4","C:\Windows\Microsoft.NET\Framework\v4.0.30319\ServiceModelReg.exe"
"09AFEFF9CB54ED9620DBE6D04E7D418423BDFFAD","C:\Windows\Microsoft.NET\Framework\v4.0.30319\SMSvcHost.exe"
"71DFF876E4D5EDB6CEA78FEE7AA15845D4950E24","C:\Windows\Microsoft.NET\Framework\v4.0.30319\vbc.exe"
"C462EF992AAFFC75CC7AC3661369224DBFFA4F13","C:\Windows\Microsoft.NET\Framework\v4.0.30319\WsatConfig.exe"
"2CA2E292B28CCA675DDF11EB1604208A724B59A0","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\AddInProcess.exe"
"E73D73F42BB2A310F03EB1BCBB22BE2B8EB7C723","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\AddInProcess32.exe"
"00A4959609F92A1747885C2BAC941E0FE765C155","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\AddInUtil.exe"
"729E44CE32BC0709642EB79C46BD8C3E9F91232B","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\AppLaunch.exe"
"EAE192043F75CA972697C3B1875988BEBD66F713","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_compiler.exe"
"090C90AA3F450EAC6003EFF04883548D2E53905D","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_regbrowsers.exe"
"A91AC3BF8967B40A5DC128DEC75AC269661FA725","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_regiis.exe"
"783C80B9F0839C5349835A7510B94B03EC2BEF6D","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_regsql.exe"
"18BE1C2484FFD93C484DDAD41DA03EDA7393DBCF","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe"
"D883496E532CB20CFC96BE5C8541879E9C3E09B5","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_wp.exe"
"40A49427B3A4A39CD56110E51FE9D7B4CB361E18","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\CasPol.exe"
"7413AC167789623B396CAAE4C932EF0F891DA07F","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ComSvcConfig.exe"
"528973416456C780051889CA1709510B6BF73370","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"
"2A3249732F5AA4588A4A9895FFE217355041D663","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe"
"8337BE23C4C73166D800EBC3096BEA866CFF177A","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\DataSvcUtil.exe"
"34698AFDD3E84E7A7555A743EAA9F6971B970D5C","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\dfsvc.exe"
"14F8BE6630A069EEEF0D6AE6DF725BCFB7508099","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\EdmGen.exe"
"6B1E04703BAFC0DCE38231055217E9B936073B0C","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ilasm.exe"
"CEE32DD2FCA33AD540350FC83E651ADFEBAE9C37","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\InstallUtil.exe"
"5729E6C7D2F5AB760F0093B9D44F8AC0F876A803","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\jsc.exe"
"930D4F60CF9699282AEEE123EBC1CFC9D99B3254","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Microsoft.Workflow.Compiler.exe"
"C6D88DB3C6871B3BB7F9BA9BDE893BFCAC7C7EE4","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\MSBuild.exe"
"9E4EA76C491D88F6BC941EE20F8E40E2D7E1BADE","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe"
"1C8F02265CF6FE480BCD4D504F9E4D2A5A2F66CB","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe"
"E4C496B24B48F7DBA280CB2FDE9A6AC123E56620","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngentask.exe"
"5C58053A3A18C0226B98A4AC7E7320581300B6C9","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\RegAsm.exe"
